epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.7298,3.18368,5.83556,2.17345,0.00017,0.03226,1e-05,0,2.81215,4.49933,1.99166,5.61152e-05,5.61152e-05,0.0900561
2,11.6948,2.68648,4.6457,1.88116,0,0,0,0,4.38606,4.15414,3.05424,0.000116384,0.000116384,0.0791164
3,13.503,2.2636,3.89308,1.54632,0,0,0,0,2.78322,3.78886,1.84729,0.000175124,0.000175124,0.0681751
4,15.3729,2.07754,3.54635,1.53855,0.0011,0.06452,7e-05,2e-05,2.3579,3.51012,1.65942,0.000232337,0.000232337,0.0572323
5,17.2332,2.06652,3.24074,1.43878,0.00586,0.93548,0.05582,0.0143,2.31515,3.45297,1.64323,0.000288022,0.000288022,0.046288
6,19.1934,2.01992,2.98159,1.40445,0.00556,0.90323,0.09316,0.02991,2.14775,3.30685,1.59554,0.00034218,0.00034218,0.0353422
7,21.1519,2.0135,2.73059,1.49035,0.00649,0.87097,0.2019,0.07247,2.24953,3.10129,1.63057,0.000394809,0.000394809,0.0243948
8,23.2214,1.93264,2.53621,1.4562,0.00644,0.93548,0.27022,0.09403,2.35586,3.04675,1.76694,0.000445911,0.000445911,0.0134459
9,25.2315,1.97652,2.34453,1.4619,0.00491,0.90323,0.1436,0.04501,2.42397,3.13831,1.77726,0.000495486,0.000495486,0.00249549
10,27.0587,1.83004,2.3861,1.38979,0.02404,0.87097,0.32703,0.09009,2.26542,2.95287,1.66663,0.000498653,0.000498653,0.000498653
11,28.7061,1.99115,2.33703,1.60544,0.61805,0.15711,0.35583,0.1154,2.13267,2.67717,1.63878,0.000491709,0.000491709,0.000491709
